deltaM;channel;partialWidth;fpi
2.1000E+00;~H+ -> ne,E,~X;5.8998E-12;0
2.1000E+00;~H+ -> nm,M,~X;5.8260E-12;0
2.1000E+00;~H+ -> ne,E,~H3;4.6238E-12;0
2.1000E+00;~H+ -> nm,M,~H3;4.5602E-12;0
2.1000E+00;~H+ -> nl,L,~X;4.5613E-14;0
2.1000E+00;~H+ -> nl,L,~H3;1.2197E-14;0
2.1000E+00;~H+ -> ~X,pi+;3.3384E-12;1
2.1000E+00;total;7.3590E-11;-1
2.1500E+00;~H+ -> u,D,~X;1.9902E-11;0
2.1500E+00;~H+ -> u,D,~H3;1.5689E-11;0
2.1500E+00;~H+ -> c,S,~X;1.3763E-11;0
2.1500E+00;~H+ -> c,S,~H3;1.0448E-11;0
2.1500E+00;~H+ -> ne,E,~X;6.6355E-12;0
2.1500E+00;~H+ -> nm,M,~X;6.5563E-12;0
2.1500E+00;~H+ -> ne,E,~H3;5.2308E-12;0
2.1500E+00;~H+ -> nm,M,~H3;5.1622E-12;0
2.1500E+00;~H+ -> nl,L,~X;7.6321E-14;0
2.1500E+00;~H+ -> nl,L,~H3;2.5039E-14;0
2.1500E+00;~H+ -> ~X,pi+;3.5825E-12;1
2.1500E+00;total;8.3488E-11;-1
2.2000E+00;~H+ -> u,D,~X;2.2324E-11;0
2.2000E+00;~H+ -> u,D,~H3;1.7695E-11;0
2.2000E+00;~H+ -> c,S,~X;1.5701E-11;0
2.2000E+00;~H+ -> c,S,~H3;1.2017E-11;0
2.2000E+00;~H+ -> ne,E,~X;7.4429E-12;0
2.2000E+00;~H+ -> nm,M,~X;7.3580E-12;0
2.2000E+00;~H+ -> ne,E,~H3;5.8998E-12;0
2.2000E+00;~H+ -> nm,M,~H3;5.8260E-12;0
2.2000E+00;~H+ -> nl,L,~X;1.1984E-13;0
2.2000E+00;~H+ -> nl,L,~H3;4.5613E-14;0
2.2000E+00;~H+ -> ~X,pi+;3.8380E-12;1
2.2000E+00;total;9.4429E-11;-1
2.2500E+00;~H+ -> u,D,~X;2.4976E-11;0
2.2500E+00;~H+ -> u,D,~H3;1.9902E-11;0
2.2500E+00;~H+ -> c,S,~X;1.7844E-11;0
2.2500E+00;~H+ -> c,S,~H3;1.3763E-11;0
2.2500E+00;~H+ -> ne,E,~X;8.3269E-12;0
2.2500E+00;~H+ -> nm,M,~X;8.2361E-12;0
2.2500E+00;~H+ -> ne,E,~H3;6.6355E-12;0
2.2500E+00;~H+ -> nm,M,~H3;6.5563E-12;0
2.2500E+00;~H+ -> nl,L,~X;1.7913E-13;0
2.2500E+00;~H+ -> nl,L,~H3;7.6322E-14;0
2.2500E+00;~H+ -> ~X,pi+;4.1055E-12;1
2.2500E+00;total;1.0650E-10;-1
2.3000E+00;~H+ -> u,D,~X;2.7874E-11;0
2.3000E+00;~H+ -> u,D,~H3;2.2324E-11;0
2.3000E+00;~H+ -> c,S,~X;2.0209E-11;0
2.3000E+00;~H+ -> c,S,~H3;1.5701E-11;0
2.3000E+00;~H+ -> ne,E,~X;9.2929E-12;0
2.3000E+00;~H+ -> nm,M,~X;9.1959E-12;0
2.3000E+00;~H+ -> ne,E,~H3;7.4429E-12;0
2.3000E+00;~H+ -> nm,M,~H3;7.3580E-12;0
2.3000E+00;~H+ -> nl,L,~X;2.5739E-13;0
2.3000E+00;~H+ -> nl,L,~H3;1.1984E-13;0
2.3000E+00;~H+ -> ~X,pi+;4.3850E-12;1
2.3000E+00;total;1.1977E-10;-1
2.3500E+00;~H+ -> u,D,~X;3.1034E-11;0
2.3500E+00;~H+ -> u,D,~H3;2.4976E-11;0
2.3500E+00;~H+ -> c,S,~X;2.2811E-11;0
2.3500E+00;~H+ -> c,S,~H3;1.7844E-11;0
2.3500E+00;~H+ -> ne,E,~X;1.0347E-11;0
2.3500E+00;~H+ -> nm,M,~X;1.0243E-11;0
2.3500E+00;~H+ -> ne,E,~H3;8.3269E-12;0
2.3500E+00;~H+ -> nm,M,~H3;8.2361E-12;0
2.3500E+00;~H+ -> nl,L,~X;3.5813E-13;0
2.3500E+00;~H+ -> nl,L,~H3;1.7913E-13;0
2.3500E+00;~H+ -> ~X,pi+;4.6769E-12;1
2.3500E+00;total;1.3436E-10;-1
2.4000E+00;~H+ -> u,D,~X;3.4475E-11;0
2.4000E+00;~H+ -> u,D,~H3;2.7874E-11;0
2.4000E+00;~H+ -> c,S,~X;2.5668E-11;0
2.4000E+00;~H+ -> c,S,~H3;2.0209E-11;0
2.4000E+00;~H+ -> ne,E,~X;1.1494E-11;0
2.4000E+00;~H+ -> nm,M,~X;1.1383E-11;0
2.4000E+00;~H+ -> ne,E,~H3;9.2929E-12;0
2.4000E+00;~H+ -> nm,M,~H3;9.1959E-12;0
2.4000E+00;~H+ -> nl,L,~X;4.8510E-13;0
2.4000E+00;~H+ -> nl,L,~H3;2.5739E-13;0
2.4000E+00;~H+ -> ~X,pi+;4.9815E-12;1
2.4000E+00;total;1.5033E-10;-1
2.4500E+00;~H+ -> u,D,~X;3.8215E-11;0
2.4500E+00;~H+ -> u,D,~H3;3.1034E-11;0
2.4500E+00;~H+ -> c,S,~X;2.8797E-11;0
2.4500E+00;~H+ -> c,S,~H3;2.2811E-11;0
2.4500E+00;~H+ -> ne,E,~X;1.2740E-11;0
2.4500E+00;~H+ -> nm,M,~X;1.2623E-11;0
2.4500E+00;~H+ -> ne,E,~H3;1.0347E-11;0
2.4500E+00;~H+ -> nm,M,~H3;1.0243E-11;0
2.4500E+00;~H+ -> nl,L,~X;6.4235E-13;0
2.4500E+00;~H+ -> nl,L,~H3;3.5813E-13;0
2.4500E+00;~H+ -> ~X,pi+;5.2989E-12;1
2.4500E+00;total;1.6781E-10;-1
2.5000E+00;~H+ -> u,D,~X;4.2271E-11;0
2.5000E+00;~H+ -> u,D,~H3;3.4475E-11;0
2.5000E+00;~H+ -> c,S,~X;3.2216E-11;0
2.5000E+00;~H+ -> c,S,~H3;2.5668E-11;0
2.5000E+00;~H+ -> ne,E,~X;1.4093E-11;0
2.5000E+00;~H+ -> nm,M,~X;1.3968E-11;0
2.5000E+00;~H+ -> ne,E,~H3;1.1494E-11;0
2.5000E+00;~H+ -> nm,M,~H3;1.1383E-11;0
2.5000E+00;~H+ -> nl,L,~X;8.3420E-13;0
2.5000E+00;~H+ -> nl,L,~H3;4.8510E-13;0
2.5000E+00;~H+ -> ~X,pi+;5.6295E-12;1
2.5000E+00;total;1.8689E-10;-1
2.5500E+00;~H+ -> u,D,~X;4.6665E-11;0
2.5500E+00;~H+ -> u,D,~H3;3.8215E-11;0
2.5500E+00;~H+ -> c,S,~X;3.5945E-11;0
2.5500E+00;~H+ -> c,S,~H3;2.8797E-11;0
2.5500E+00;~H+ -> ne,E,~X;1.5557E-11;0
2.5500E+00;~H+ -> nm,M,~X;1.5425E-11;0
2.5500E+00;~H+ -> ne,E,~H3;1.2740E-11;0
2.5500E+00;~H+ -> nm,M,~H3;1.2623E-11;0
2.5500E+00;~H+ -> nl,L,~X;1.0652E-12;0
2.5500E+00;~H+ -> nl,L,~H3;6.4236E-13;0
2.5500E+00;~H+ -> ~X,pi+;5.9736E-12;1
2.5500E+00;total;2.0767E-10;-1
2.6000E+00;~H+ -> u,D,~X;5.1417E-11;0
2.6000E+00;~H+ -> u,D,~H3;4.2271E-11;0
2.6000E+00;~H+ -> c,S,~X;4.0003E-11;0
2.6000E+00;~H+ -> c,S,~H3;3.2216E-11;0
2.6000E+00;~H+ -> ne,E,~X;1.7142E-11;0
2.6000E+00;~H+ -> nm,M,~X;1.7001E-11;0
2.6000E+00;~H+ -> ne,E,~H3;1.4093E-11;0
2.6000E+00;~H+ -> nm,M,~H3;1.3968E-11;0
2.6000E+00;~H+ -> nl,L,~X;1.3404E-12;0
2.6000E+00;~H+ -> nl,L,~H3;8.3420E-13;0
2.6000E+00;~H+ -> ~X,pi+;6.3313E-12;1
2.6000E+00;total;2.3029E-10;-1
2.6500E+00;~H+ -> u,D,~X;5.6548E-11;0
2.6500E+00;~H+ -> u,D,~H3;4.6665E-11;0
2.6500E+00;~H+ -> c,S,~X;4.4412E-11;0
2.6500E+00;~H+ -> c,S,~H3;3.5945E-11;0
2.6500E+00;~H+ -> ne,E,~X;1.8852E-11;0
2.6500E+00;~H+ -> nm,M,~X;1.8703E-11;0
2.6500E+00;~H+ -> ne,E,~H3;1.5557E-11;0
2.6500E+00;~H+ -> nm,M,~H3;1.5425E-11;0
2.6500E+00;~H+ -> nl,L,~X;1.6648E-12;0
2.6500E+00;~H+ -> nl,L,~H3;1.0653E-12;0
2.6500E+00;~H+ -> ~X,pi+;6.7030E-12;1
2.6500E+00;total;2.5484E-10;-1
2.7000E+00;~H+ -> u,D,~X;6.2081E-11;0
2.7000E+00;~H+ -> u,D,~H3;5.1417E-11;0
2.7000E+00;~H+ -> c,S,~X;4.9194E-11;0
2.7000E+00;~H+ -> c,S,~H3;4.0003E-11;0
2.7000E+00;~H+ -> ne,E,~X;2.0696E-11;0
2.7000E+00;~H+ -> nm,M,~X;2.0539E-11;0
2.7000E+00;~H+ -> ne,E,~H3;1.7142E-11;0
2.7000E+00;~H+ -> nm,M,~H3;1.7001E-11;0
2.7000E+00;~H+ -> nl,L,~X;2.0439E-12;0
2.7000E+00;~H+ -> nl,L,~H3;1.3404E-12;0
2.7000E+00;~H+ -> ~X,pi+;7.0890E-12;1
2.7000E+00;total;2.8146E-10;-1
2.7500E+00;~H+ -> u,D,~X;6.8037E-11;0
2.7500E+00;~H+ -> u,D,~H3;5.6548E-11;0
2.7500E+00;~H+ -> c,S,~X;5.4370E-11;0
2.7500E+00;~H+ -> c,S,~H3;4.4413E-11;0
2.7500E+00;~H+ -> ne,E,~X;2.2682E-11;0
2.7500E+00;~H+ -> nm,M,~X;2.2516E-11;0
2.7500E+00;~H+ -> ne,E,~H3;1.8852E-11;0
2.7500E+00;~H+ -> nm,M,~H3;1.8703E-11;0
2.7500E+00;~H+ -> nl,L,~X;2.4835E-12;0
2.7500E+00;~H+ -> nl,L,~H3;1.6648E-12;0
2.7500E+00;~H+ -> ~X,pi+;7.4894E-12;1
2.7500E+00;total;3.1027E-10;-1
2.8000E+00;~H+ -> u,D,~X;7.4443E-11;0
2.8000E+00;~H+ -> u,D,~H3;6.2081E-11;0
2.8000E+00;~H+ -> c,S,~X;5.9964E-11;0
2.8000E+00;~H+ -> c,S,~H3;4.9194E-11;0
2.8000E+00;~H+ -> ne,E,~X;2.4817E-11;0
2.8000E+00;~H+ -> nm,M,~X;2.4642E-11;0
2.8000E+00;~H+ -> ne,E,~H3;2.0696E-11;0
2.8000E+00;~H+ -> nm,M,~H3;2.0539E-11;0
2.8000E+00;~H+ -> nl,L,~X;2.9897E-12;0
2.8000E+00;~H+ -> nl,L,~H3;2.0439E-12;0
2.8000E+00;~H+ -> ~X,pi+;7.9045E-12;1
2.8000E+00;total;3.4141E-10;-1
2.8500E+00;~H+ -> u,D,~X;8.1321E-11;0
2.8500E+00;~H+ -> u,D,~H3;6.8038E-11;0
2.8500E+00;~H+ -> c,S,~X;6.6001E-11;0
2.8500E+00;~H+ -> c,S,~H3;5.4370E-11;0
2.8500E+00;~H+ -> ne,E,~X;2.7110E-11;0
2.8500E+00;~H+ -> nm,M,~X;2.6925E-11;0
2.8500E+00;~H+ -> ne,E,~H3;2.2682E-11;0
2.8500E+00;~H+ -> nm,M,~H3;2.2516E-11;0
2.8500E+00;~H+ -> nl,L,~X;3.5687E-12;0
2.8500E+00;~H+ -> nl,L,~H3;2.4835E-12;0
2.8500E+00;~H+ -> ~X,pi+;8.3347E-12;1
2.8500E+00;total;3.7502E-10;-1
2.9000E+00;~H+ -> u,D,~X;8.8699E-11;0
2.9000E+00;~H+ -> u,D,~H3;7.4443E-11;0
2.9000E+00;~H+ -> c,S,~X;7.2505E-11;0
2.9000E+00;~H+ -> c,S,~H3;5.9964E-11;0
2.9000E+00;~H+ -> ne,E,~X;2.9570E-11;0
2.9000E+00;~H+ -> nm,M,~X;2.9375E-11;0
2.9000E+00;~H+ -> ne,E,~H3;2.4817E-11;0
2.9000E+00;~H+ -> nm,M,~H3;2.4642E-11;0
2.9000E+00;~H+ -> nl,L,~X;4.2274E-12;0
2.9000E+00;~H+ -> nl,L,~H3;2.9897E-12;0
2.9000E+00;~H+ -> ~X,pi+;8.7802E-12;1
2.9000E+00;total;4.1123E-10;-1
2.9500E+00;~H+ -> u,D,~X;9.6602E-11;0
2.9500E+00;~H+ -> u,D,~H3;8.1322E-11;0
2.9500E+00;~H+ -> c,S,~X;7.9503E-11;0
2.9500E+00;~H+ -> c,S,~H3;6.6001E-11;0
2.9500E+00;~H+ -> ne,E,~X;3.2204E-11;0
2.9500E+00;~H+ -> nm,M,~X;3.1999E-11;0
2.9500E+00;~H+ -> ne,E,~H3;2.7110E-11;0
2.9500E+00;~H+ -> nm,M,~H3;2.6925E-11;0
2.9500E+00;~H+ -> nl,L,~X;4.9727E-12;0
2.9500E+00;~H+ -> nl,L,~H3;3.5687E-12;0
2.9500E+00;~H+ -> ~X,pi+;9.2412E-12;1
2.9500E+00;total;4.5021E-10;-1
3.0000E+00;~H+ -> u,D,~X;1.0506E-10;0
3.0000E+00;~H+ -> u,D,~H3;8.8699E-11;0
3.0000E+00;~H+ -> c,S,~X;8.7021E-11;0
3.0000E+00;~H+ -> c,S,~H3;7.2505E-11;0
3.0000E+00;~H+ -> ne,E,~X;3.5023E-11;0
3.0000E+00;~H+ -> nm,M,~X;3.4807E-11;0
3.0000E+00;~H+ -> ne,E,~H3;2.9570E-11;0
3.0000E+00;~H+ -> nm,M,~H3;2.9375E-11;0
3.0000E+00;~H+ -> nl,L,~X;5.8120E-12;0
3.0000E+00;~H+ -> nl,L,~H3;4.2274E-12;0
3.0000E+00;~H+ -> ~X,pi+;9.7180E-12;1
3.0000E+00;total;4.9210E-10;-1
3.0500E+00;~H+ -> u,D,~X;1.1410E-10;0
3.0500E+00;~H+ -> u,D,~H3;9.6603E-11;0
3.0500E+00;~H+ -> c,S,~X;9.5089E-11;0
3.0500E+00;~H+ -> c,S,~H3;7.9503E-11;0
3.0500E+00;~H+ -> ne,E,~X;3.8036E-11;0
3.0500E+00;~H+ -> nm,M,~X;3.7809E-11;0
3.0500E+00;~H+ -> ne,E,~H3;3.2204E-11;0
3.0500E+00;~H+ -> nm,M,~H3;3.1999E-11;0
3.0500E+00;~H+ -> nl,L,~X;6.7527E-12;0
3.0500E+00;~H+ -> nl,L,~H3;4.9728E-12;0
3.0500E+00;~H+ -> ~X,pi+;1.0211E-11;1
3.0500E+00;total;5.3707E-10;-1
3.1000E+00;~H+ -> u,D,~X;1.2375E-10;0
3.1000E+00;~H+ -> u,D,~H3;1.0506E-10;0
3.1000E+00;~H+ -> c,S,~X;1.0373E-10;0
3.1000E+00;~H+ -> c,S,~H3;8.7022E-11;0
3.1000E+00;~H+ -> ne,E,~X;4.1253E-11;0
3.1000E+00;~H+ -> nm,M,~X;4.1015E-11;0
3.1000E+00;~H+ -> ne,E,~H3;3.5023E-11;0
3.1000E+00;~H+ -> nm,M,~H3;3.4808E-11;0
3.1000E+00;~H+ -> nl,L,~X;7.8030E-12;0
3.1000E+00;~H+ -> nl,L,~H3;5.8120E-12;0
3.1000E+00;~H+ -> ~X,pi+;1.0720E-11;1
3.1000E+00;total;5.8527E-10;-1
3.1500E+00;~H+ -> u,D,~X;1.3404E-10;0
3.1500E+00;~H+ -> u,D,~H3;1.1410E-10;0
3.1500E+00;~H+ -> c,S,~X;1.1299E-10;0
3.1500E+00;~H+ -> c,S,~H3;9.5089E-11;0
3.1500E+00;~H+ -> ne,E,~X;4.4683E-11;0
3.1500E+00;~H+ -> nm,M,~X;4.4433E-11;0
3.1500E+00;~H+ -> ne,E,~H3;3.8036E-11;0
3.1500E+00;~H+ -> nm,M,~H3;3.7809E-11;0
3.1500E+00;~H+ -> nl,L,~X;8.9712E-12;0
3.1500E+00;~H+ -> nl,L,~H3;6.7528E-12;0
3.1500E+00;~H+ -> ~X,pi+;1.1246E-11;1
3.1500E+00;total;6.3690E-10;-1
3.2000E+00;~H+ -> u,D,~X;1.4500E-10;0
3.2000E+00;~H+ -> u,D,~H3;1.2375E-10;0
3.2000E+00;~H+ -> c,S,~X;1.2288E-10;0
3.2000E+00;~H+ -> c,S,~H3;1.0373E-10;0
3.2000E+00;~H+ -> ne,E,~X;4.8338E-11;0
3.2000E+00;~H+ -> nm,M,~X;4.8076E-11;0
3.2000E+00;~H+ -> ne,E,~H3;4.1253E-11;0
3.2000E+00;~H+ -> nm,M,~H3;4.1015E-11;0
3.2000E+00;~H+ -> nl,L,~X;1.0266E-11;0
3.2000E+00;~H+ -> nl,L,~H3;7.8031E-12;0
3.2000E+00;~H+ -> ~X,pi+;1.1789E-11;1
3.2000E+00;total;6.9211E-10;-1
3.2500E+00;~H+ -> u,D,~X;1.5667E-10;0
3.2500E+00;~H+ -> u,D,~H3;1.3404E-10;0
3.2500E+00;~H+ -> c,S,~X;1.3344E-10;0
3.2500E+00;~H+ -> c,S,~H3;1.1299E-10;0
3.2500E+00;~H+ -> ne,E,~X;5.2228E-11;0
3.2500E+00;~H+ -> nm,M,~X;5.1954E-11;0
3.2500E+00;~H+ -> ne,E,~H3;4.4683E-11;0
3.2500E+00;~H+ -> nm,M,~H3;4.4434E-11;0
3.2500E+00;~H+ -> nl,L,~X;1.1696E-11;0
3.2500E+00;~H+ -> nl,L,~H3;8.9712E-12;0
3.2500E+00;~H+ -> ~X,pi+;1.2348E-11;1
3.2500E+00;total;7.5110E-10;-1
3.3000E+00;~H+ -> u,D,~X;1.6908E-10;0
3.3000E+00;~H+ -> u,D,~H3;1.4500E-10;0
3.3000E+00;~H+ -> c,S,~X;1.4470E-10;0
3.3000E+00;~H+ -> c,S,~H3;1.2288E-10;0
3.3000E+00;~H+ -> ne,E,~X;5.6365E-11;0
3.3000E+00;~H+ -> nm,M,~X;5.6077E-11;0
3.3000E+00;~H+ -> ne,E,~H3;4.8338E-11;0
3.3000E+00;~H+ -> nm,M,~H3;4.8076E-11;0
3.3000E+00;~H+ -> nl,L,~X;1.3271E-11;0
3.3000E+00;~H+ -> nl,L,~H3;1.0266E-11;0
3.3000E+00;~H+ -> ~X,pi+;1.2926E-11;1
3.3000E+00;total;8.1405E-10;-1
3.3500E+00;~H+ -> u,D,~X;1.8226E-10;0
3.3500E+00;~H+ -> c,S,~X;1.5670E-10;0
3.3500E+00;~H+ -> u,D,~H3;1.5667E-10;0
3.3500E+00;~H+ -> c,S,~H3;1.3344E-10;0
3.3500E+00;~H+ -> ne,E,~X;6.0759E-11;0
3.3500E+00;~H+ -> nm,M,~X;6.0458E-11;0
3.3500E+00;~H+ -> ne,E,~H3;5.2228E-11;0
3.3500E+00;~H+ -> nm,M,~H3;5.1954E-11;0
3.3500E+00;~H+ -> nl,L,~X;1.5000E-11;0
3.3500E+00;~H+ -> nl,L,~H3;1.1696E-11;0
3.3500E+00;~H+ -> ~X,pi+;1.3520E-11;1
3.3500E+00;total;8.8117E-10;-1
3.4000E+00;~H+ -> u,D,~X;1.9625E-10;0
3.4000E+00;~H+ -> c,S,~X;1.6948E-10;0
3.4000E+00;~H+ -> u,D,~H3;1.6908E-10;0
3.4000E+00;~H+ -> c,S,~H3;1.4470E-10;0
3.4000E+00;~H+ -> ne,E,~X;6.5423E-11;0
3.4000E+00;~H+ -> nm,M,~X;6.5108E-11;0
3.4000E+00;~H+ -> ne,E,~H3;5.6365E-11;0
3.4000E+00;~H+ -> nm,M,~H3;5.6077E-11;0
3.4000E+00;~H+ -> nl,L,~X;1.6894E-11;0
3.4000E+00;~H+ -> nl,L,~H3;1.3271E-11;0
3.4000E+00;~H+ -> ~X,pi+;1.4133E-11;1
3.4000E+00;total;9.5264E-10;-1
3.4500E+00;~H+ -> u,D,~X;2.1109E-10;0
3.4500E+00;~H+ -> c,S,~X;1.8306E-10;0
3.4500E+00;~H+ -> u,D,~H3;1.8226E-10;0
3.4500E+00;~H+ -> c,S,~H3;1.5670E-10;0
3.4500E+00;~H+ -> ne,E,~X;7.0368E-11;0
3.4500E+00;~H+ -> nm,M,~X;7.0040E-11;0
3.4500E+00;~H+ -> ne,E,~H3;6.0759E-11;0
3.4500E+00;~H+ -> nm,M,~H3;6.0458E-11;0
3.4500E+00;~H+ -> nl,L,~X;1.8962E-11;0
3.4500E+00;~H+ -> nl,L,~H3;1.5000E-11;0
3.4500E+00;~H+ -> ~X,pi+;1.4764E-11;1
3.4500E+00;total;1.0287E-09;-1
3.5000E+00;~H+ -> u,D,~X;2.2681E-10;0
3.5000E+00;~H+ -> c,S,~X;1.9748E-10;0
3.5000E+00;~H+ -> u,D,~H3;1.9625E-10;0
3.5000E+00;~H+ -> c,S,~H3;1.6948E-10;0
3.5000E+00;~H+ -> ne,E,~X;7.5608E-11;0
3.5000E+00;~H+ -> nm,M,~X;7.5266E-11;0
3.5000E+00;~H+ -> ne,E,~H3;6.5423E-11;0
3.5000E+00;~H+ -> nm,M,~H3;6.5108E-11;0
3.5000E+00;~H+ -> nl,L,~X;2.1216E-11;0
3.5000E+00;~H+ -> nl,L,~H3;1.6894E-11;0
3.5000E+00;~H+ -> ~X,pi+;1.5413E-11;1
3.5000E+00;total;1.1095E-09;-1
3.5500E+00;~H+ -> u,D,~X;2.4345E-10;0
3.5500E+00;~H+ -> c,S,~X;2.1279E-10;0
3.5500E+00;~H+ -> u,D,~H3;2.1109E-10;0
3.5500E+00;~H+ -> c,S,~H3;1.8306E-10;0
3.5500E+00;~H+ -> ne,E,~X;8.1156E-11;0
3.5500E+00;~H+ -> nm,M,~X;8.0798E-11;0
3.5500E+00;~H+ -> ne,E,~H3;7.0368E-11;0
3.5500E+00;~H+ -> nm,M,~H3;7.0040E-11;0
3.5500E+00;~H+ -> nl,L,~X;2.3667E-11;0
3.5500E+00;~H+ -> nl,L,~H3;1.8962E-11;0
3.5500E+00;~H+ -> ~X,pi+;1.6081E-11;1
3.5500E+00;total;1.1954E-09;-1
3.6000E+00;~H+ -> u,D,~X;2.6105E-10;0
3.6000E+00;~H+ -> c,S,~X;2.2903E-10;0
3.6000E+00;~H+ -> u,D,~H3;2.2681E-10;0
3.6000E+00;~H+ -> c,S,~H3;1.9748E-10;0
3.6000E+00;~H+ -> ne,E,~X;8.7024E-11;0
3.6000E+00;~H+ -> nm,M,~X;8.6651E-11;0
3.6000E+00;~H+ -> ne,E,~H3;7.5609E-11;0
3.6000E+00;~H+ -> nm,M,~H3;7.5266E-11;0
3.6000E+00;~H+ -> nl,L,~X;2.6327E-11;0
3.6000E+00;~H+ -> nl,L,~H3;2.1216E-11;0
3.6000E+00;~H+ -> ~X,pi+;1.6768E-11;1
3.6000E+00;total;1.2865E-09;-1
3.6500E+00;~H+ -> u,D,~X;2.7966E-10;0
3.6500E+00;~H+ -> c,S,~X;2.4622E-10;0
3.6500E+00;~H+ -> u,D,~H3;2.4345E-10;0
3.6500E+00;~H+ -> c,S,~H3;2.1279E-10;0
3.6500E+00;~H+ -> ne,E,~X;9.3227E-11;0
3.6500E+00;~H+ -> nm,M,~X;9.2838E-11;0
3.6500E+00;~H+ -> ne,E,~H3;8.1156E-11;0
3.6500E+00;~H+ -> nm,M,~H3;8.0798E-11;0
3.6500E+00;~H+ -> nl,L,~X;2.9206E-11;0
3.6500E+00;~H+ -> nl,L,~H3;2.3667E-11;0
